"山形県","538","13.79","46","1.77","4","0.15","119","4.58","158","6.08","17","0.65","-","-","3","0.12","11","0.42","-","-","-","-","-","-","5","0.63","-","-","-","-","-","-","-","-","-","-","67","1.72"
"福島県","545","11.35","12","0.43","3","0.11","52","1.86","150","5.36","7","0.25","-","-","5","0.18","6","0.21","1","0.04","-","-","-","-","4","0.31","-","-","1","0.14","3","0.43","-","-","-","-","104","2.17"
"茨城県","483","7.21","10","0.27","4","0.11","141","3.81","243","6.57","7","0.19","3","0.08","1","0.03","9","0.24","1","0.03","-","-","-","-","12","0.71","-","-","-","-","2","0.15","-","-","1","0.08","124","1.85"
"栃木県","409","8.89","12","0.46","2","0.08","67","2.58","128","4.92","7","0.27","-","-","2","0.08","5","0.19","-","-","-","-","-","-","4","0.33","1","0.14","-","-","1","0.14","1","0.14","1","0.14","56","1.22"
"群馬県","552","12.27","8","0.32","5","0.20","53","2.12","232","9.28","2","0.08","-","-","2","0.08","9","0.36","-","-","-","-","-","-","-","-","-","-","-","-","6","0.67","-","-","3","0.33","53","1.18"
"埼玉県","1775","10.14","30","0.28","22","0.20","274","2.51","607","5.57","58","0.53","5","0.05","8","0.07","15","0.14","3","0.03","2","0.02","1","0.02","8","0.19","-","-","1","0.08","4","0.33","-","-","2","0.17","254","1.45"
"千葉県","1339","7.32","27","0.24","5","0.05","281","2.53","452","4.07","36","0.32","1","0.01","5","0.05","16","0.14","1","0.01","6","0.05","-","-","16","0.47","-","-","-","-","1","0.11","-","-","-","-","213","1.16"
"東京都","3158","7.57","42","0.16","19","0.07","371","1.42","1652","6.31","99","0.38","9","0.03","6","0.02","52","0.20","-","-","6","0.02","-","-","9","0.23","1","0.04","1","0.04","1","0.04","1","0.04","5","0.20","416","1.00"
"神奈川県","2021","8.28","51","0.36","15","0.11","248","1.75","802","5.65","48","0.34","-","-","2","0.01","27","0.19","3","0.02","4","0.03","2","0.04","15","0.31","1","0.08","-","-","1","0.08","-","-","4","0.33","383","1.57"
"新潟県","919","16.71","24","0.80","5","0.17","95","3.17","92","3.07","10","0.33","-","-","8","0.27","5","0.17","1","0.03","3","0.10","-","-","2","0.20","-","-","-","-","5","0.38","-","-","-","-","94","1.71"
"富山県","864","18.38","20","0.69","10","0.34","135","4.66","263","9.07","12","0.41","-","-","1","0.03","4","0.14","1","0.03","-","-","-","-","2","0.29","-","-","-","-","2","0.40","-","-","-","-","73","1.55"
"石川県","1004","21.36","17","0.61","13","0.46","118","4.21","265","9.46","37","1.32","2","0.07","-","-","5","0.18","2","0.07","-","-","-","-","4","0.57","-","-","-","-","-","-","-","-","-","-","37","0.79"
"福井県","624","16.00","18","0.72","6","0.24","119","4.76","142","5.68","10","0.40","28","1.12","11","0.44","3","0.12","1","0.04","-","-","-","-","2","0.67","-","-","-","-","4","0.67","-","-","-","-","26","0.67"
"山梨県","218","6.23","7","0.33","1","0.05","20","0.95","43","2.05","4","0.19","-","-","3","0.14","1","0.05","-","-","-","-","-","-","2","0.22","2","0.20","-","-","1","0.10","-","-","-","-","58","1.66"
"長野県","1031","20.62","17","0.61","2","0.07","55","1.96","184","6.57","9","0.32","-","-","3","0.11","6","0.21","-","-","-","-","-","-","6","0.60","-","-","-","-","1","0.08","-","-","-","-","89","1.78"
"岐阜県","229","5.09","12","0.44","4","0.15","32","1.19","209","7.74","3","0.11","-","-","-","-","5","0.19","-","-","-","-","-","-","4","0.36","-","-","-","-","3","0.60","-","-","2","0.40","33","0.73"
"静岡県","621","4.47","26","0.29","11","0.12","141","1.58","478","5.37","15","0.17","10","0.11","14","0.16","12","0.13","1","0.01","3","0.03","-","-","1","0.05","-","-","1","0.10","2","0.20","-","-","-","-","159","1.14"
"愛知県","1289","7.91","49","0.49","12","0.12","144","1.43","493","4.88","16","0.16","5","0.05","6","0.06","16","0.16","1","0.01","-","-","1","0.03","1","0.03","-","-","1","0.07","9","0.60","-","-","4","0.27","100","0.61"
"三重県","346","4.94","18","0.41","5","0.11","85","1.93","200","4.55","6","0.14","2","0.05","1","0.02","10","0.23","-","-","-","-","-","-","1","0.08","-","-","-","-","1","0.11","-","-","-","-","37","0.53"
"滋賀県","507","8.74","18","0.51","4","0.11","53","1.51","175","5.00","11","0.31","1","0.03","1","0.03","3","0.09","-","-","3","0.09","-","-","-","-","-","-","1","0.14","-","-","-","-","-","-","43","0.74"
"京都府","697","10.89","8","0.21","23","0.61","133","3.50","162","4.26","11","0.29","-","-","-","-","9","0.24","-","-","1","0.03","-","-","2","0.11","-","-","-","-","5","0.71","1","0.14","2","0.29","53","0.83"
"大阪府","1732","5.99","140","0.76","48","0.26","390","2.12","921","5.01","52","0.28","6","0.03","10","0.05","28","0.15","-","-","7","0.04","-","-","11","0.21","-","-","2","0.11","3","0.17","-","-","-","-","121","0.42"
"兵庫県","1320","8.05","68","0.65","27","0.26","228","2.17","558","5.31","35","0.33","-","-","18","0.17","17","0.16","1","0.01","1","0.01","-","-","4","0.12","-","-","1","0.07","-","-","-","-","-","-","112","0.68"
"奈良県","315","7.50","15","0.63","5","0.21","73","3.04","159","6.63","6","0.25","1","0.04","1","0.04","4","0.17","-","-","2","0.08","-","-","2","0.25","-","-","-","-","4","0.67","-","-","-","-","23","0.55"
"和歌山県","303","6.73","23","0.85","2","0.07","38","1.41","111","4.11","6","0.22","-","-","2","0.07","7","0.26","-","-","-","-","-","-","1","0.25","-","-","-","-","2","0.18","-","-","-","-","45","1.00"
"鳥取県","487","16.79","5","0.26","4","0.21","115","6.05","111","5.84","4","0.21","-","-","2","0.11","3","0.16","-","-","-","-","-","-","-","-","1","0.20","-","-","-","-","-","-","-","-","20","0.69"
"島根県","329","16.45","18","1.64","9","0.82","25","2.27","69","6.27","5","0.45","-","-","1","0.09","3","0.27","1","0.09","-","-","-","-","-","-","-","-","-","-","4","0.50","-","-","-","-","14","0.70"
"岡山県","503","10.06","30","1.07","2","0.07","61","2.18","198","7.07","3","0.11","9","0.32","7","0.25","12","0.43","-","-","-","-","-","-","2","0.17","-","-","-","-","3","0.60","-","-","2","0.40","28","0.56"
"広島県","913","9.82","15","0.27","15","0.27","147","2.63","360","6.43","8","0.14","-","-","5","0.09","7","0.13","1","0.02","3","0.05","-","-","11","0.58","-","-","-","-","6","0.30","-","-","1","0.05","40","0.43"
"山口県","791","12.56","67","1.68","12","0.30","94","2.35","263","6.58","2","0.05","-","-","7","0.18","10","0.25","-","-","-","-","-","-","4","0.44","-","-","-","-","1","0.11","-","-","-","-","33","0.52"
"徳島県","366","11.09","3","0.14","6","0.29","15","0.71","120","5.71","-","-","-","-","4","0.19","2","0.10","-","-","-","-","-","-","-","-","-","-","-","-","1","0.14","-","-","1","0.14","23","0.70"
"香川県","182","7.91","8","0.62","9","0.69","10","0.77","95","7.31","-","-","1","0.08","2","0.15","2","0.15","1","0.08","1","0.08","1","0.20","1","0.20","2","0.40","-","-","2","0.40","-","-","-","-","13","0.57"
"愛媛県","522","14.11","30","1.50","11","0.55","135","6.75","187","9.35","5","0.25","-","-","8","0.40","2","0.10","-","-","-","-","-","-","13","1.63","-","-","-","-","1","0.17","-","-","-","-","38","1.03"
"高知県","87","2.29","27","1.35","2","0.10","22","1.10","42","2.10","-","-","-","-","8","0.40","4","0.20","-","-","-","-","-","-","-","-","-","-","-","-","2","0.25","-","-","-","-","28","0.74"
"福岡県","1387","11.37","88","1.26","57","0.81","419","5.99","438","6.26","42","0.60","24","0.34","9","0.13","18","0.26","3","0.04","3","0.04","-","-","17","0.65","-","-","1","0.07","1","0.07","-","-","-","-","32","0.26"
"佐賀県","166","6.92","6","0.50","3","0.25","72","6.00","69","5.75","1","0.08","2","0.17","2","0.17","3","0.25","-","-","-","-","-","-","-","-","-","-","1","0.17","-","-","-","-","1","0.17","3","0.13"
"長崎県","639","12.53","41","1.32","23","0.74","91","2.94","134","4.32","12","0.39","6","0.19","2","0.06","9","0.29","1","0.03","2","0.06","3","0.38","2","0.25","-","-","-","-","4","0.33","-","-","1","0.08","14","0.27"
"熊本県","548","7.61","18","0.38","13","0.27","183","3.81","310","6.46","13","0.27","11","0.23","14","0.29","15","0.31","6","0.13","1","0.02","-","-","2","0.22","-","-","-","-","1","0.07","-","-","2","0.13","49","0.68"
"大分県","591","10.19","12","0.33","20","0.56","98","2.72","259","7.19","9","0.25","-","-","3","0.08","12","0.33","1","0.03","-","-","-","-","4","0.80","-","-","-","-","-","-","-","-","-","-","36","0.62"
"宮崎県","195","6.96","6","0.40","16","1.07","46","3.07","129","8.60","11","0.73","10","0.67","5","0.33","4","0.27","-","-","1","0.07","-","-","8","1.33","-","-","-","-","1","0.14","-","-","-","-","13","0.46"
"鹿児島県","342","6.00","29","0.94","31","1.00","91","2.94","258","8.32","10","0.32","1","0.03","6","0.19","10","0.32","-","-","-","-","1","0.14","8","1.14","-","-","1","0.08","2","0.17","-","-","-","-","18","0.32"
"沖縄県","558","12.40","2","0.08","3","0.12","49","1.96","111","4.44","23","0.92","-","-","-","-","1","0.04","-","-","-","-","-","-","12","1.33","-","-","1","0.14","1","0.14","-","-","-","-","156","3.47"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
