"山形県","391","10.03","34","1.31","3","0.12","121","4.65","131","5.04","14","0.54","-","-","1","0.04","7","0.27","-","-","-","-","-","-","1","0.13","-","-","-","-","-","-","-","-","-","-","49","1.26"
"福島県","373","7.77","20","0.71","4","0.14","42","1.50","136","4.86","18","0.64","-","-","-","-","8","0.29","-","-","1","0.04","-","-","4","0.31","-","-","-","-","1","0.14","-","-","-","-","63","1.31"
"茨城県","313","4.67","9","0.24","4","0.11","158","4.27","220","5.95","8","0.22","1","0.03","1","0.03","6","0.16","1","0.03","-","-","-","-","16","0.94","-","-","-","-","3","0.23","-","-","-","-","96","1.43"
"栃木県","278","5.91","15","0.56","3","0.11","66","2.44","118","4.37","2","0.07","3","0.11","4","0.15","10","0.37","-","-","1","0.04","-","-","6","0.50","-","-","-","-","1","0.14","-","-","4","0.57","59","1.26"
"群馬県","416","9.24","5","0.20","10","0.40","48","1.92","214","8.56","14","0.56","-","-","-","-","8","0.32","-","-","4","0.16","-","-","3","0.30","-","-","-","-","4","0.44","1","0.11","3","0.33","68","1.51"
"埼玉県","1042","5.92","29","0.26","10","0.09","245","2.23","608","5.53","40","0.36","8","0.07","3","0.03","25","0.23","2","0.02","5","0.05","1","0.02","9","0.21","2","0.17","-","-","-","-","-","-","4","0.33","230","1.31"
"千葉県","836","4.57","32","0.29","11","0.10","281","2.53","462","4.16","29","0.26","2","0.02","5","0.05","14","0.13","-","-","4","0.04","-","-","10","0.29","-","-","1","0.11","-","-","-","-","1","0.11","194","1.06"
"東京都","1863","4.48","46","0.18","19","0.07","325","1.25","1499","5.74","86","0.33","13","0.05","10","0.04","45","0.17","2","0.01","13","0.05","-","-","12","0.31","1","0.04","1","0.04","3","0.12","1","0.04","5","0.20","421","1.01"
"神奈川県","1232","5.09","36","0.26","16","0.11","250","1.77","787","5.58","25","0.18","1","0.01","9","0.06","31","0.22","4","0.03","5","0.04","1","0.02","29","0.58","-","-","2","0.17","1","0.08","-","-","4","0.33","324","1.34"
"新潟県","658","11.96","12","0.40","5","0.17","94","3.13","99","3.30","7","0.23","1","0.03","9","0.30","2","0.07","-","-","-","-","-","-","-","-","-","-","1","0.08","1","0.08","-","-","2","0.15","73","1.33"
"富山県","658","14.00","22","0.79","10","0.36","135","4.82","247","8.82","6","0.21","1","0.04","2","0.07","4","0.14","-","-","2","0.07","-","-","1","0.14","-","-","-","-","-","-","1","0.20","-","-","54","1.15"
"石川県","662","14.09","12","0.43","8","0.29","111","3.96","304","10.86","22","0.79","2","0.07","1","0.04","3","0.11","1","0.04","1","0.04","-","-","6","0.86","-","-","-","-","-","-","-","-","1","0.20","25","0.53"
"福井県","390","10.00","21","0.84","5","0.20","96","3.84","124","4.96","11","0.44","18","0.72","5","0.20","4","0.16","8","0.32","1","0.04","-","-","-","-","1","0.17","1","0.17","2","0.33","-","-","-","-","16","0.41"
"山梨県","134","3.83","3","0.14","2","0.10","22","1.05","74","3.52","-","-","2","0.10","2","0.10","3","0.14","-","-","1","0.05","-","-","1","0.11","-","-","-","-","1","0.10","-","-","-","-","46","1.31"
"長野県","676","13.52","13","0.46","2","0.07","58","2.07","186","6.64","5","0.18","-","-","2","0.07","5","0.18","-","-","-","-","-","-","9","0.90","1","0.08","-","-","4","0.33","-","-","-","-","101","2.02"
"岐阜県","192","4.27","8","0.30","3","0.11","45","1.67","239","8.85","3","0.11","1","0.04","-","-","10","0.37","-","-","-","-","-","-","1","0.09","1","0.20","-","-","1","0.20","-","-","4","0.80","40","0.89"
"静岡県","399","2.87","28","0.32","12","0.14","113","1.28","350","3.98","22","0.25","9","0.10","7","0.08","18","0.20","-","-","3","0.03","1","0.05","3","0.14","-","-","-","-","-","-","-","-","-","-","98","0.71"
"愛知県","892","5.47","44","0.44","8","0.08","123","1.22","567","5.61","16","0.16","3","0.03","8","0.08","21","0.21","-","-","4","0.04","-","-","7","0.20","-","-","-","-","11","0.73","-","-","6","0.40","100","0.61"
"三重県","254","3.68","19","0.44","11","0.26","79","1.84","212","4.93","6","0.14","2","0.05","1","0.02","12","0.28","-","-","-","-","-","-","2","0.17","-","-","-","-","1","0.11","-","-","1","0.11","33","0.48"
"滋賀県","396","6.83","23","0.66","1","0.03","63","1.80","196","5.60","9","0.26","-","-","-","-","5","0.14","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","31","0.53"
"京都府","448","7.00","22","0.58","15","0.39","158","4.16","164","4.32","12","0.32","1","0.03","1","0.03","9","0.24","-","-","1","0.03","-","-","3","0.17","-","-","-","-","3","0.43","1","0.14","1","0.14","46","0.72"
"大阪府","1182","4.09","137","0.74","59","0.32","348","1.89","968","5.26","38","0.21","6","0.03","15","0.08","30","0.16","1","0.01","3","0.02","-","-","12","0.23","-","-","2","0.11","1","0.06","-","-","-","-","142","0.49"
"兵庫県","967","5.93","62","0.60","21","0.20","204","1.96","633","6.09","34","0.33","1","0.01","7","0.07","15","0.14","1","0.01","4","0.04","-","-","8","0.24","-","-","1","0.07","2","0.14","-","-","1","0.07","89","0.55"
"奈良県","192","4.57","18","0.75","4","0.17","40","1.67","155","6.46","11","0.46","1","0.04","1","0.04","3","0.13","-","-","-","-","2","0.25","5","0.63","-","-","1","0.17","-","-","-","-","-","-","19","0.45"
"和歌山県","191","4.24","15","0.56","4","0.15","42","1.56","128","4.74","2","0.07","-","-","-","-","11","0.41","-","-","3","0.11","-","-","-","-","-","-","-","-","2","0.18","-","-","-","-","49","1.09"
"鳥取県","402","13.86","7","0.37","2","0.11","115","6.05","107","5.63","4","0.21","-","-","2","0.11","4","0.21","-","-","-","-","-","-","1","0.20","-","-","-","-","2","0.40","-","-","-","-","22","0.76"
"島根県","225","11.25","6","0.55","6","0.55","27","2.45","121","11.00","6","0.55","2","0.18","-","-","8","0.73","1","0.09","-","-","-","-","4","1.33","-","-","1","0.13","5","0.63","-","-","-","-","31","1.55"
"岡山県","397","7.94","22","0.79","3","0.11","52","1.86","173","6.18","1","0.04","15","0.54","6","0.21","4","0.14","-","-","-","-","-","-","1","0.08","-","-","-","-","1","0.20","-","-","2","0.40","24","0.48"
"広島県","645","6.94","24","0.43","17","0.30","120","2.14","332","5.93","12","0.21","3","0.05","2","0.04","8","0.14","2","0.04","2","0.04","-","-","4","0.21","-","-","-","-","9","0.45","-","-","-","-","53","0.57"
"山口県","544","8.63","45","1.13","9","0.23","106","2.65","229","5.73","2","0.05","2","0.05","13","0.33","11","0.28","-","-","-","-","-","-","-","-","-","-","-","-","3","0.33","-","-","1","0.11","38","0.60"
"徳島県","236","7.15","8","0.38","3","0.14","25","1.19","78","3.71","2","0.10","-","-","2","0.10","4","0.19","-","-","1","0.05","-","-","-","-","-","-","-","-","2","0.29","-","-","-","-","23","0.70"
"香川県","109","4.74","10","0.77","1","0.08","33","2.54","79","6.08","-","-","-","-","3","0.23","1","0.08","-","-","-","-","1","0.20","-","-","-","-","-","-","1","0.20","-","-","-","-","10","0.43"
"愛媛県","361","9.76","18","0.90","8","0.40","79","3.95","203","10.15","10","0.50","-","-","12","0.60","7","0.35","-","-","1","0.05","-","-","8","1.00","1","0.17","-","-","-","-","-","-","-","-","42","1.14"
"高知県","59","1.55","10","0.50","3","0.15","35","1.75","60","3.00","2","0.10","-","-","4","0.20","2","0.10","-","-","1","0.05","-","-","-","-","-","-","-","-","1","0.13","-","-","1","0.13","20","0.53"
"福岡県","855","7.01","63","0.90","42","0.60","437","6.24","482","6.89","28","0.40","17","0.24","2","0.03","19","0.27","4","0.06","1","0.01","4","0.15","9","0.35","-","-","-","-","2","0.13","-","-","-","-","27","0.22"
"佐賀県","121","5.04","8","0.67","4","0.33","50","4.17","60","5.00","5","0.42","1","0.08","1","0.08","12","1.00","2","0.17","-","-","-","-","2","0.50","-","-","-","-","-","-","-","-","-","-","9","0.38"
"長崎県","398","7.80","54","1.74","22","0.71","97","3.13","133","4.29","12","0.39","1","0.03","2","0.06","3","0.10","-","-","1","0.03","1","0.13","11","1.38","-","-","-","-","2","0.17","-","-","-","-","20","0.39"
"熊本県","317","4.40","20","0.42","21","0.44","146","3.04","323","6.73","30","0.63","8","0.17","11","0.23","22","0.46","-","-","2","0.04","-","-","7","0.78","-","-","1","0.07","4","0.27","-","-","2","0.13","50","0.69"
"大分県","287","4.95","14","0.39","8","0.22","109","3.03","280","7.78","14","0.39","1","0.03","2","0.06","13","0.36","-","-","-","-","-","-","1","0.20","-","-","-","-","1","0.09","-","-","-","-","22","0.38"
"宮崎県","132","4.71","19","1.27","21","1.40","54","3.60","128","8.53","11","0.73","2","0.13","4","0.27","7","0.47","-","-","1","0.07","-","-","13","2.17","-","-","-","-","-","-","-","-","-","-","17","0.61"
"鹿児島県","220","3.86","26","0.84","46","1.48","95","3.06","201","6.48","19","0.61","-","-","10","0.32","7","0.23","1","0.03","-","-","-","-","2","0.29","-","-","-","-","-","-","-","-","-","-","10","0.18"
"沖縄県","509","11.31","1","0.04","4","0.16","35","1.40","91","3.64","10","0.40","1","0.04","-","-","4","0.16","1","0.04","1","0.04","1","0.11","11","1.22","-","-","-","-","2","0.29","-","-","-","-","127","2.82"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
